1.00 8.00 66 2018-10-23-20:33:21
f5:93:4c:a6:d9:16 -71 b | -71 -71
40:e3:d6:5d:c8:84 -41 w | -41 -39 -39 -38
40:e3:d6:5e:d3:40 -75 w | -75 -68 -68 -69
40:e3:d6:5d:ed:42 -85 w | -85 -85
84:d4:7e:73:d7:04 -80 w | -80 -80 -80 -80
84:d4:7e:73:d7:01 -80 w | -80 -80 -80 -80
40:e3:d6:5d:c8:80 -42 w | -42 -39 -39 -39
40:e3:d6:5d:ed:41 -86 w | -86 -86
40:e3:d6:5d:c5:e1 -83 w | -83
40:e3:d6:5d:9c:62 -65 w | -65 -66 -66
34:fc:b9:7a:cb:a1 -56 w | -56 -51 -51 -50
40:e3:d6:5d:c5:e5 -85 w | -85 -85
40:e3:d6:5d:c8:82 -41 w | -41 -39 -39 -38
84:d4:7e:73:d7:00 -81 w | -81 -83 -83 -83
b0:6e:bf:3b:ab:80 -33 w | -33 -31 -32 -35
40:e3:d6:5d:c5:e2 -83 w | -83
40:e3:d6:5d:54:e2 -79 w | -79 -78 -81 -80
40:e3:d6:5e:d3:45 -80 w | -80 -68 -68 -68
40:e3:d6:5d:9c:65 -72 w | -72 -68 -70 -70
40:e3:d6:5d:80:05 -86 w | -86 -89 -88
34:fc:b9:7a:cb:a2 -56 w | -56 -51 -51 -50
84:d4:7e:73:d7:05 -79 w | -79 -80 -79 -79
3c:52:82:a8:98:ae -79 w | -79 -74 -77 -77
84:d4:7e:73:d7:02 -80 w | -80 -80 -80 -80
34:fc:b9:7a:cb:a0 -57 w | -57 -51 -51 -50
40:e3:d6:5d:54:e4 -79 w | -79 -79 -81 -80
40:e3:d6:5d:c8:81 -42 w | -42 -39 -39 -39
40:e3:d6:5d:c5:e4 -82 w | -82
40:e3:d6:5d:ed:45 -88 w | -88 -83 -85 -85
40:e3:d6:5e:d3:42 -75 w | -75 -69 -70 -68
40:e3:d6:5d:c5:e0 -83 w | -83
40:e3:d6:5e:d3:41 -75 w | -75 -68 -70 -68

3.40 6.80 65 2018-10-23-20:34:46
f5:93:4c:a6:d9:16 -74 b | -74 -74
cf:20:a9:08:f3:ed -75 b | -75 -79
ac:23:3f:20:9c:ac -70 b | -70 -64
c1:00:91:00:01:2d -78 b | -78 -68
c1:00:91:00:01:2f -85 b | -85 -72
ac:23:3f:20:8d:34 -74 b | -74 -66 -69
ac:23:3f:20:8d:3b -71 b | -71 -69
ac:23:3f:20:94:cc -77 b | -77 -72
ac:23:3f:20:8d:39 -62 b | -62
ac:23:3f:20:8d:32 -72 b | -72 -66 -67
ac:23:3f:20:94:cd -77 b | -77 -70
ac:23:3f:20:9c:ae -70 b | -70 -68
ac:23:3f:20:8d:37 -67 b | -67 -70 -70
